..........AI : 4.832 s, Game : 1.442 s
Episode 089 avg. reward = -0.700, Long-term avg. reward = -0.747
..........AI : 8.090 s, Game : 2.524 s
Episode 090 avg. reward = 0.000, Long-term avg. reward = -0.740
..........AI : 5.723 s, Game : 1.694 s
Episode 091 avg. reward = -0.400, Long-term avg. reward = -0.737
..........AI : 6.720 s, Game : 2.171 s
Episode 092 avg. reward = -0.100, Long-term avg. reward = -0.730
..........AI : 4.005 s, Game : 1.247 s
Episode 093 avg. reward = -0.700, Long-term avg. reward = -0.730
..........AI : 6.537 s, Game : 1.921 s
Episode 094 avg. reward = -0.200, Long-term avg. reward = -0.725
..........AI : 5.273 s, Game : 1.577 s
Episode 095 avg. reward = -0.500, Long-term avg. reward = -0.722
..........AI : 7.203 s, Game : 2.352 s
Episode 096 avg. reward = 0.000, Long-term avg. reward = -0.715
..........AI : 5.076 s, Game : 1.516 s
Episode 097 avg. reward = -0.600, Long-term avg. reward = -0.714
..........AI : 4.353 s, Game : 1.368 s
Episode 098 avg. reward = -0.700, Long-term avg. reward = -0.714
..........AI : 4.742 s, Game : 1.340 s
Episode 099 avg. reward = -0.700, Long-term avg. reward = -0.714
..........AI : 4.938 s, Game : 1.587 s
Episode 100 avg. reward = -0.500, Long-term avg. reward = -0.712
..........AI : 3.662 s, Game : 1.177 s
Episode 101 avg. reward = -0.800, Long-term avg. reward = -0.712
..........AI : 4.643 s, Game : 1.398 s
Episode 102 avg. reward = -0.600, Long-term avg. reward = -0.711
..........AI : 5.362 s, Game : 1.687 s
Episode 103 avg. reward = -0.500, Long-term avg. reward = -0.709
..........AI : 4.920 s, Game : 1.517 s
Episode 104 avg. reward = -0.600, Long-term avg. reward = -0.708
..........AI : 4.590 s, Game : 1.364 s
Episode 105 avg. reward = -0.600, Long-term avg. reward = -0.707
..........AI : 5.935 s, Game : 1.718 s
Episode 106 avg. reward = -0.400, Long-term avg. reward = -0.704
..........AI : 7.505 s, Game : 1.896 s
Episode 107 avg. reward = -0.300, Long-term avg. reward = -0.700
..........AI : 5.686 s, Game : 1.707 s
Episode 108 avg. reward = -0.500, Long-term avg. reward = -0.698
..........AI : 7.072 s, Game : 2.266 s
Episode 109 avg. reward = 0.000, Long-term avg. reward = -0.691
..........AI : 3.014 s, Game : 0.905 s
Episode 110 avg. reward = -1.000, Long-term avg. reward = -0.694
..........AI : 3.631 s, Game : 1.150 s
Episode 111 avg. reward = -0.800, Long-term avg. reward = -0.695
..........AI : 3.327 s, Game : 0.963 s
Episode 112 avg. reward = -0.900, Long-term avg. reward = -0.697
..........AI : 6.198 s, Game : 1.986 s
Episode 113 avg. reward = -0.300, Long-term avg. reward = -0.693
..........AI : 7.014 s, Game : 2.050 s
Episode 114 avg. reward = -0.200, Long-term avg. reward = -0.688
..........AI : 4.956 s, Game : 1.581 s
Episode 115 avg. reward = -0.500, Long-term avg. reward = -0.686
..........AI : 6.334 s, Game : 2.074 s
Episode 116 avg. reward = -0.100, Long-term avg. reward = -0.680
..........AI : 6.297 s, Game : 1.959 s
Episode 117 avg. reward = -0.200, Long-term avg. reward = -0.676
..........AI : 8.779 s, Game : 2.806 s
Episode 118 avg. reward = 0.300, Long-term avg. reward = -0.666
..........AI : 7.733 s, Game : 2.450 s
Episode 119 avg. reward = 0.000, Long-term avg. reward = -0.659
..........AI : 7.638 s, Game : 2.362 s
Episode 120 avg. reward = 0.000, Long-term avg. reward = -0.653
..........AI : 7.459 s, Game : 2.471 s
Episode 121 avg. reward = 0.100, Long-term avg. reward = -0.645
..........AI : 8.679 s, Game : 2.662 s
Episode 122 avg. reward = 0.100, Long-term avg. reward = -0.638
..........AI : 3.479 s, Game : 1.046 s
Episode 123 avg. reward = -0.900, Long-term avg. reward = -0.640
..........AI : 7.282 s, Game : 2.272 s
Episode 124 avg. reward = -0.100, Long-term avg. reward = -0.635
..........AI : 6.351 s, Game : 2.043 s
Episode 125 avg. reward = -0.200, Long-term avg. reward = -0.631
..........AI : 5.846 s, Game : 1.850 s
Episode 126 avg. reward = -0.400, Long-term avg. reward = -0.628
..........AI : 7.580 s, Game : 2.289 s
Episode 127 avg. reward = -0.100, Long-term avg. reward = -0.623
..........AI : 6.852 s, Game : 2.125 s
Episode 128 avg. reward = -0.100, Long-term avg. reward = -0.618
..........AI : 8.376 s, Game : 2.683 s
Episode 129 avg. reward = 0.200, Long-term avg. reward = -0.610
..........AI : 8.496 s, Game : 2.499 s
Episode 130 avg. reward = 0.000, Long-term avg. reward = -0.603
..........AI : 5.358 s, Game : 1.749 s
Episode 131 avg. reward = -0.400, Long-term avg. reward = -0.601
..........AI : 8.603 s, Game : 2.829 s
Episode 132 avg. reward = 0.400, Long-term avg. reward = -0.591
..........AI : 5.350 s, Game : 1.433 s
Episode 133 avg. reward = -0.600, Long-term avg. reward = -0.592
..........AI : 6.540 s, Game : 2.116 s
Episode 134 avg. reward = -0.200, Long-term avg. reward = -0.588
..........AI : 8.475 s, Game : 2.753 s
Episode 135 avg. reward = 0.200, Long-term avg. reward = -0.580
..........AI : 9.361 s, Game : 3.027 s
Episode 136 avg. reward = 0.400, Long-term avg. reward = -0.570
..........AI : 6.954 s, Game : 2.275 s
Episode 137 avg. reward = -0.200, Long-term avg. reward = -0.566
..........AI : 7.009 s, Game : 2.233 s
Episode 138 avg. reward = 0.000, Long-term avg. reward = -0.561
..........AI : 6.401 s, Game : 2.042 s
Episode 139 avg. reward = -0.200, Long-term avg. reward = -0.557
..........AI : 4.120 s, Game : 1.240 s
Episode 140 avg. reward = -0.700, Long-term avg. reward = -0.558
..........AI : 5.986 s, Game : 1.634 s
Episode 141 avg. reward = -0.600, Long-term avg. reward = -0.559
..........AI : 5.261 s, Game : 1.624 s
Episode 142 avg. reward = -0.500, Long-term avg. reward = -0.558
..........AI : 6.665 s, Game : 2.048 s
Episode 143 avg. reward = -0.200, Long-term avg. reward = -0.555
..........AI : 12.196 s, Game : 3.692 s
Episode 144 avg. reward = 0.800, Long-term avg. reward = -0.541
..........AI : 5.393 s, Game : 1.624 s
Episode 145 avg. reward = -0.500, Long-term avg. reward = -0.541
..........AI : 6.576 s, Game : 2.012 s
Episode 146 avg. reward = -0.200, Long-term avg. reward = -0.537
..........AI : 9.582 s, Game : 3.125 s
Episode 147 avg. reward = 0.500, Long-term avg. reward = -0.527
..........AI : 6.836 s, Game : 2.089 s
Episode 148 avg. reward = -0.200, Long-term avg. reward = -0.524
..........AI : 6.763 s, Game : 2.139 s
Episode 149 avg. reward = -0.200, Long-term avg. reward = -0.520
..........AI : 8.023 s, Game : 2.501 s
Episode 150 avg. reward = 0.100, Long-term avg. reward = -0.514
..........AI : 9.284 s, Game : 2.763 s
Episode 151 avg. reward = 0.300, Long-term avg. reward = -0.506
..........AI : 5.338 s, Game : 1.678 s
Episode 152 avg. reward = -0.400, Long-term avg. reward = -0.505
..........AI : 9.844 s, Game : 3.250 s
Episode 153 avg. reward = 0.500, Long-term avg. reward = -0.495
..........AI : 7.825 s, Game : 2.355 s
Episode 154 avg. reward = 0.000, Long-term avg. reward = -0.490
..........AI : 7.222 s, Game : 2.344 s
Episode 155 avg. reward = 0.000, Long-term avg. reward = -0.485
..........AI : 5.086 s, Game : 1.594 s
Episode 156 avg. reward = -0.400, Long-term avg. reward = -0.484
..........AI : 5.121 s, Game : 1.650 s
Episode 157 avg. reward = -0.600, Long-term avg. reward = -0.485
..........AI : 5.398 s, Game : 1.503 s
Episode 158 avg. reward = -0.700, Long-term avg. reward = -0.488
..........AI : 5.996 s, Game : 1.896 s
Episode 159 avg. reward = -0.400, Long-term avg. reward = -0.487
..........AI : 10.139 s, Game : 3.330 s
Episode 160 avg. reward = 0.700, Long-term avg. reward = -0.475
..........AI : 10.651 s, Game : 3.537 s
Episode 161 avg. reward = 0.700, Long-term avg. reward = -0.463
